Date,Open,High,Low,Close,Adj Close,Volume
2018-05-07,8.650000,8.720000,8.415000,8.460000,8.125413,3613400
2018-05-08,8.525000,8.560000,8.225000,8.430000,8.096598,9631200
2018-05-09,8.490000,8.585000,8.290000,8.470000,8.135017,5960000
2018-05-10,8.505000,8.895000,8.490000,8.875000,8.523997,5679000
2018-05-11,8.790000,9.050000,8.750000,8.895000,8.543209,3122600
2018-05-14,8.895000,9.140000,8.815000,8.945000,8.591230,4698000
2018-05-15,8.850000,9.400000,8.850000,9.300000,8.932190,7290400
2018-05-16,9.205000,9.590000,9.180000,9.540000,9.162696,3832400
2018-05-17,9.525000,9.530000,9.220000,9.345000,8.975411,6030800
2018-05-18,9.210000,9.340000,9.045000,9.150000,8.788122,7126000
2018-05-21,9.205000,9.360000,8.950000,8.965000,8.610440,6023000
2018-05-22,9.060000,9.230000,8.945000,9.020000,8.663263,5752200
2018-05-23,9.015000,9.155000,8.975000,9.010000,8.653660,5223200
2018-05-24,9.120000,9.425000,9.025000,9.410000,9.037837,7041000
2018-05-25,9.370000,9.715000,9.255000,9.350000,8.980211,6308400
2018-05-28,9.225000,9.415000,8.815000,8.840000,8.490384,5369800
2018-05-29,8.925000,9.185000,8.685000,8.685000,8.341513,13530800
2018-05-30,8.735000,8.865000,8.545000,8.590000,8.250271,26881800
2018-06-01,8.730000,9.000000,8.395000,8.525000,8.187840,7908200
2018-06-04,8.610000,8.670000,8.370000,8.400000,8.067783,7279800
2018-06-05,8.450000,8.505000,8.140000,8.200000,7.875694,8077200
2018-06-06,8.150000,8.515000,8.130000,8.500000,8.163830,13898800
2018-06-07,8.500000,8.630000,7.935000,8.215000,7.890100,9004600
2018-06-08,8.290000,8.370000,7.945000,8.250000,7.923717,8326600
2018-06-11,8.275000,8.310000,7.985000,8.035000,7.717220,4764200
2018-06-12,8.060000,8.140000,7.915000,7.945000,7.630779,5044800
2018-06-13,7.975000,8.040000,7.730000,7.805000,7.496315,7070200
2018-06-14,7.730000,7.850000,7.560000,7.625000,7.323434,7808400
2018-06-15,7.575000,7.890000,7.560000,7.890000,7.577956,14773600
2018-06-18,7.795000,7.840000,7.625000,7.635000,7.333040,5532600
2018-06-19,7.625000,7.830000,7.535000,7.605000,7.304225,6971200
2018-06-20,7.710000,7.720000,7.565000,7.700000,7.395468,5895800
2018-06-21,7.705000,7.815000,7.635000,7.735000,7.429086,6340000
2018-06-22,7.755000,7.795000,7.660000,7.720000,7.414678,5942200
2018-06-25,7.750000,8.020000,7.750000,7.910000,7.597163,4881800
2018-06-26,8.010000,8.025000,7.815000,7.980000,7.664395,4013000
2018-06-27,7.995000,8.010000,7.760000,7.860000,7.549142,4980000
2018-06-28,7.880000,8.080000,7.775000,8.055000,7.736429,4737200
2018-06-29,8.095000,8.215000,8.055000,8.125000,7.803661,6415400
2018-07-02,8.150000,8.150000,7.830000,7.830000,7.538501,3220600
2018-07-03,7.875000,8.015000,7.875000,8.000000,7.702173,5298200
2018-07-04,8.110000,8.110000,7.950000,7.950000,7.654033,1049000
2018-07-05,7.900000,8.065000,7.810000,7.990000,7.692545,5561000
2018-07-06,7.925000,8.220000,7.925000,8.170000,7.865845,3197200
2018-07-10,8.200000,8.500000,8.160000,8.500000,8.183560,6771000
2018-07-11,8.420000,8.505000,8.380000,8.405000,8.092095,6483800
2018-07-12,8.400000,8.540000,8.350000,8.525000,8.207627,5233400
2018-07-13,8.465000,8.575000,8.380000,8.575000,8.255768,3271200
2018-07-16,8.560000,8.765000,8.540000,8.720000,8.395370,5505800
2018-07-17,8.720000,9.195000,8.720000,9.095000,8.756409,9695600
2018-07-18,9.200000,9.600000,9.170000,9.235000,8.891194,8757000
2018-07-19,9.200000,9.450000,9.055000,9.390000,9.040425,5159000
2018-07-20,9.475000,9.550000,9.225000,9.325000,8.977845,8147800
2018-07-23,9.250000,9.490000,9.165000,9.420000,9.109555,4271800
2018-07-24,9.500000,9.680000,9.405000,9.500000,9.186918,7137600
2018-07-25,9.465000,9.590000,9.450000,9.450000,9.138564,5388200
2018-07-26,9.400000,9.465000,9.115000,9.285000,8.979005,6683600
2018-07-27,9.370000,9.385000,9.190000,9.225000,8.920981,4466800
2018-07-30,9.340000,9.345000,9.165000,9.300000,8.993508,13438400
2018-07-31,9.230000,9.370000,9.185000,9.255000,8.949990,4939000
2018-08-01,9.250000,9.355000,9.155000,9.155000,8.853289,3880400
2018-08-02,9.135000,9.250000,8.980000,8.980000,8.684053,4816600
2018-08-03,9.020000,9.170000,8.935000,9.065000,8.766252,5871000
2018-08-06,9.070000,9.275000,9.045000,9.125000,8.824275,4309200
2018-08-07,9.150000,9.350000,9.130000,9.265000,8.959663,10229000
2018-08-08,9.365000,9.365000,8.960000,9.065000,8.766252,8031200
2018-08-09,9.025000,9.145000,8.855000,9.030000,8.732406,6617400
2018-08-10,8.910000,9.025000,8.630000,8.665000,8.379436,5386400
2018-08-13,8.605000,8.890000,8.565000,8.815000,8.524492,4197400
2018-08-14,8.935000,9.045000,8.740000,8.785000,8.495481,5169400
2018-08-15,8.680000,8.920000,8.655000,8.815000,8.524492,7495600
2018-08-16,8.825000,8.920000,8.735000,8.850000,8.558338,4431800
2018-08-17,8.775000,8.865000,8.655000,8.750000,8.461636,3677400
2018-08-20,8.675000,8.775000,8.605000,8.720000,8.432625,3651800
2018-08-21,8.700000,8.890000,8.700000,8.750000,8.461636,5005600
2018-08-22,8.705000,9.040000,8.705000,8.935000,8.640536,4058800
2018-08-23,8.990000,9.080000,8.855000,8.940000,8.645373,6023600
2018-08-24,9.020000,9.065000,8.785000,8.840000,8.548669,3181200
2018-08-27,8.960000,9.060000,8.900000,9.000000,8.703395,2555000
2018-08-28,9.000000,9.250000,8.920000,9.245000,8.940320,5171000
2018-08-29,9.245000,9.395000,9.185000,9.375000,9.066036,4650800
2018-08-30,9.300000,9.445000,9.225000,9.420000,9.109555,5435800
2018-08-31,9.330000,9.570000,9.330000,9.570000,9.254608,7649600
2018-09-03,9.520000,9.545000,9.295000,9.400000,9.090213,3739800
2018-09-04,9.440000,9.440000,9.180000,9.325000,9.017683,3768000
2018-09-05,9.235000,9.350000,9.175000,9.285000,8.979005,3275600
2018-09-06,9.325000,9.920000,9.285000,9.745000,9.423842,8037400
2018-09-10,9.805000,9.935000,9.715000,9.775000,9.452851,4577400
2018-09-11,9.585000,9.785000,9.505000,9.550000,9.235271,3798400
2018-09-12,9.655000,9.660000,9.390000,9.400000,9.090213,8334400
2018-09-13,9.510000,9.515000,9.185000,9.370000,9.061204,4690800
2018-09-14,9.360000,9.635000,9.335000,9.600000,9.283620,5884000
2018-09-17,9.595000,9.745000,9.500000,9.650000,9.331973,4300400
2018-09-18,9.540000,9.775000,9.540000,9.575000,9.259445,4508800
2018-09-19,9.520000,9.605000,9.415000,9.495000,9.182083,3381200
2018-09-20,9.565000,9.660000,9.455000,9.545000,9.230433,3613200
2018-09-21,9.635000,9.755000,9.570000,9.725000,9.404502,6937800
2018-09-24,9.700000,9.845000,9.610000,9.645000,9.346019,3265000
2018-09-25,9.525000,9.790000,9.500000,9.755000,9.452612,3507600
2018-09-26,9.750000,10.000000,9.715000,9.840000,9.534975,4733600
2018-09-27,9.895000,10.000000,9.850000,9.950000,9.641565,4275800
2018-09-28,9.830000,9.955000,9.780000,9.875000,9.568889,4031600
2018-10-01,9.900000,9.900000,9.710000,9.745000,9.442919,3325800
2018-10-02,9.820000,10.000000,9.820000,9.870000,9.564047,4698800
2018-10-03,10.005000,10.125000,9.505000,9.715000,9.413852,9137200
2018-10-04,9.775000,9.855000,9.480000,9.555000,9.258808,4519000
2018-10-05,9.695000,9.840000,9.515000,9.550000,9.253965,4150000
2018-10-08,9.925000,9.925000,9.365000,9.525000,9.229739,14482200
2018-10-09,9.580000,9.595000,9.145000,9.150000,8.866364,9621000
2018-10-10,9.150000,9.330000,9.050000,9.200000,8.914815,4561400
2018-10-11,9.285000,9.360000,9.155000,9.215000,8.929349,3906400
2018-10-15,9.335000,9.335000,9.055000,9.150000,8.866364,3746400
2018-10-16,9.175000,9.450000,9.155000,9.375000,9.084389,6823800
2018-10-17,9.405000,9.595000,9.325000,9.325000,9.035937,6555400
2018-10-18,9.345000,9.350000,9.135000,9.205000,8.919659,5716400
2018-10-19,9.290000,9.350000,9.195000,9.300000,9.011714,5525400
2018-10-22,9.385000,9.420000,9.250000,9.325000,9.035937,3892400
2018-10-23,9.200000,9.695000,9.200000,9.600000,9.302413,7738600
2018-10-24,9.690000,9.745000,9.470000,9.675000,9.375090,10796000
2018-10-25,9.720000,9.860000,9.505000,9.505000,9.210361,13028200
2018-10-26,9.545000,9.545000,9.035000,9.040000,8.759774,15550600
2018-10-29,8.780000,8.930000,8.615000,8.750000,8.478765,13586000
2018-10-30,8.870000,9.150000,8.810000,9.150000,8.866364,10193400
2018-10-31,9.200000,9.320000,8.955000,9.000000,8.721014,10170200
2018-11-01,9.010000,9.195000,8.880000,9.100000,8.817914,8679200
2018-11-05,9.100000,9.495000,9.100000,9.355000,9.065009,7289600
2018-11-06,9.255000,9.530000,9.210000,9.350000,9.060164,6576200
2018-11-07,9.375000,9.570000,9.375000,9.430000,9.137686,5896200
2018-11-08,9.450000,9.625000,9.245000,9.300000,9.011714,8205000
2018-11-09,9.325000,9.380000,9.105000,9.300000,9.011714,5786200
2018-11-12,9.240000,9.445000,9.225000,9.225000,8.939040,3269800
2018-11-13,9.325000,9.360000,9.035000,9.065000,8.783998,6143400
2018-11-14,9.100000,9.270000,9.010000,9.210000,8.924504,5997200
